,Feature,Coefficient,Importance
1044,Ketoleucine,-1.0748314787016944,1.0748314787016944
603,ENSMPUG00000014634_MKRN3,-1.0562690881241088,1.0562690881241088
426,ENSMPUG00000026895_Unknown,0.9511727914913952,0.9511727914913952
1051,L.Alanine,-0.8292294072445546,0.8292294072445546
730,ENSMPUG00000024388_Unknown,-0.788821625639611,0.788821625639611
914,X2.Methoxyestrone,-0.7691130599286553,0.7691130599286553
14,ENSMPUG00000014561_TCN1,-0.7576202689937752,0.7576202689937752
296,ENSMPUG00000010904_AZGP1,0.7173905132904953,0.7173905132904953
591,ENSMPUG00000001013_ADAMTS1,0.6366507920260788,0.6366507920260788
951,Allylmalonic.acid,0.6060256695037427,0.6060256695037427
