Path,Count
"else if Ketoleucine<=1.159637212753296 != true then: --> predicted Prediction: 0",195
"if ENSMPUG00000010904_AZGP1<=-1.4121604561805725 = true then: --> predicted Prediction: 0",137
"if Ketoleucine<=1.159637212753296 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 = true then: --> predicted Prediction: 0",136
"else if Ketoleucine<=1.159637212753296 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",136
"else if Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",96
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",71
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",68
"else if Ketoleucine<=1.159637212753296 = true and ENSMPUG00000014987_Unknown<=0.08383621647953987 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",50
"else if Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",40
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",37
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",34
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",33
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 != true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",33
"if Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 = true then: --> predicted Prediction: 1",30
"else if Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",27
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 != true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",26
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000014987_Unknown<=0.08383621647953987 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",26
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",25
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",24
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 != true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",24
"else if Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 = true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",22
"else if Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true and ENSMPUG00000004751_ANKRD24<=-1.0072854161262512 = true then: --> predicted Prediction: 0",22
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",21
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",21
"else if Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 = true then: --> predicted Prediction: 0",20
"else if Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",18
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",18
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",18
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",16
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 = true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",16
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 = true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",16
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",16
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",16
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and X2.Methoxyestrone<=0.5013543665409088 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",16
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",15
"else if ENSMPUG00000012286_NLRP3<=1.8359976410865784 != true and ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",14
"else if ENSMPUG00000012286_NLRP3<=1.8486459255218506 != true and ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",14
