Feature,Count
Ketoleucine<=1.159637212753296,2496
ENSMPUG00000010904_AZGP1<=-1.4121604561805725,2340
ENSMPUG00000014987_Unknown<=0.08383621647953987,1079
ENSMPUG00000015708_WDR64<=-1.3136845827102661,1057
ENSMPUG00000026188_Unknown<=-1.6784894466400146,935
ENSMPUG00000005128_EMILIN2<=1.8143475651741028,897
ENSMPUG00000003456_CLDN1<=0.6340613961219788,596
ENSMPUG00000007479_PRDM16<=0.6958464980125427,478
ENSMPUG00000012286_NLRP3<=1.8359976410865784,242
ENSMPUG00000012286_NLRP3<=1.8486459255218506,242
X2.Methoxyestrone<=0.5013543665409088,105
ENSMPUG00000004751_ANKRD24<=-1.0072854161262512,102
Ketoleucine<=0.8994508385658264,15
ENSMPUG00000001650_COLQ<=-0.10226407274603844,14
ENSMPUG00000014987_Unknown<=0.0382701251655817,14
